Genre,Count
Drama,946
Comedy,785
Thriller,426
Animation,349
Fantasy,331
Documentary,314
Action,294
Adventure,261
Crime,192
Family,188
Science fiction,183
Romance,171
Sequel,126
Terror,93
Kids,91
Superheroes,90
Intrigue,86
Friendship,80
Remake,77
Horror,75
Biographical,75
Mystery,73
Based on a Comic,71
Supernatural,67
Based on real facts,67
Manga,66
Cop Movies,62
War,58
Teen/coming-of-age,56
Adolescence,55
Drugs,54
Schools & University,49
3D,48
Telefilm,47
Kidnapping Film / Disappearance,45
Dramatic comedy,44
Spin-off,44
Based on a Video Game,43
1980s,42
Animals,40
1970s,39
Gay & Lesbian,38
Mafia,36
Short Film (Animated),35
1960s,33
19th Century,33
Magic,33
Based On A True Story,32
Half-length Film,32
Religion,31
Dystopia,30
TV Miniseries,30
Sports,30
Music,29
1990s,29
Serial Killers,28
Politics,27
Revenge,26
Musical,26
Spy Film,25
Sitcom,25
Survival Film,25
Aliens,25
Martial Arts,25
Historical,24
Witchcraft,23
Biography,23
Computers / Internet,23
Cult Movie,23
Heist Film,22
Nature,21
Zombies,21
Disability,20
Time Travel,20
1950s,20
Monsters,20
Vampires,19
Soccer/Football,19
1940s,19
Cine independiente USA,18
Christmas,18
Car Movies,18
Satire,17
Pixar,17
Gore,16
Terrorism,16
Disease/illness,16
Journalism,16
Young Adult,16
Dogs/Wolves,16
Telenovela / Latino Soap Opera,15
Old Age,15
Racism,15
Buddy Film,14
Robots,14
Immigration,14
Serie de antología,13
Prequel,13
Stand-Up,13
Post-apocalyptic Future,12
Neo-noir,12
Feminism,12
Road Movie,12
Dragons,12
Literature,12
Cine dentro del cine,12
Slasher,11
Werewolf,11
Steampunk,11
Concerts,10
Western,10
Fairy Tales / Fables,9
Trabajo/empleo,9
Casas encantadas,9
Baile,9
Futuro postapocalíptico,8
Exorcism/Evil Possession,8
Epic film,8
Live-Action,8
Medicina,8
Middle Ages,8
Parodia,8
Africa,8
Melodrama,8
Hip Hop,7
Prostitución,7
África,7
Dinosaurios,7
Cocina,7
Childhood,7
Pintura,6
Falso documental,6
Cyberpunk,6
Vida rural (Norteamérica),6
Teatro,6
Bolsa & Negocios,6
Enseñanza,6
Historias cruzadas,6
Ghosts,6
Acoso escolar,6
Abusos sexuales,6
Fantasmas,5
Webserie / Serie Online,5
Cats,5
Transexualidad / transgénero,5
Prehistoria,5
Vida rural,5
Halloween,5
Preschool,5
Cine épico,5
Parody,5
Sectas,5
Pandemic,5
Años 20,5
Televisión,5
Vikings,5
Nazismo,5
1930s,5
Aves/Pájaros,5
Small Town Life (Non-North American),4
Independent Film (US),4
Pandemias,4
Adopción,4
Adoption,4
Ninjas,4
Interactive film,4
Webseries,4
Stop Motion,4
Aviones,4
Años 1900 (circa),4
Small Town Life (North-american),4
Bodas,4
Años 1910-1919,4
Años 30,4
Baloncesto,4
Bears,4
Sherlock Holmes,4
Sword and Sorcery,4
Sects / Extremist Cults,4
Fotografía,4
Divulgativo/Educativo,4
Discapacidad visual,4
Haunted Houses,4
Sexualidad y pornografía,4
Education,4
1920s,4
Surrealismo,4
Coronavirus (COVID-19),4
Posesiones/Exorcismos,3
Cuentos,3
Dancing,3
Precuela,3
9th Century,3
Preescolar,3
Moda,3
Siglo XVIII,3
Anthology Series,3
Film In Film,3
Muñecos,3
Erotic,3
18th Century,3
Ejército,3
Nazism,3
Yakuza & Triada,3
Army,3
Pobreza,3
Matemáticas,3
Catástrofes,3
Job/Employment,3
Gimnasia,3
Horses,3
Surrealism,3
Siglo XVII,3
Gatos,3
Western futurista,3
Fútbol americano,3
Ancient Greece,3
Weddings,3
Ancient Egypt,3
Star Wars,3
Caballos,3
Boxeo,3
Arab-Israeli conflict,2
Snakes,2
Roedores,2
Pirates,2
SIDA,2
Sexuality & Porn,2
Antigua Roma,2
Skateboard,2
Sketches,2
Sexual Abuse,2
Anthology Film,2
Prostitution,2
Siglo XVI,2
Wrestling,2
Radio,2
1910s,2
Alzheimer's,2
Siglo XV,2
Dragon Ball,2
Película interactiva,2
Película de episodios,2
Cine experimental,2
Surfing,2
Cine negro,2
Claymation (Plastilina),2
Tiburones,2
Conflicto árabe-israelí,2
Gambling,2
Cortometraje,2
Crisis económica 2008,2
Fashion,2
Deafness,2
Short Film,2
Delfines,2
Espada y brujería,2
Esclavitud,2
Dictadura argentina,2
End of the World,2
Educational,2
Edad Media,2
ETA,2
Tenis,2
Trains,2
Mathematics,2
Submarinismo,2
Bomberos,2
Motos,2
Bandas/pandillas callejeras,2
Star Trek,2
Mitología,2
Basketball,2
Jazz,2
Marionetas,2
Metraje encontrado,2
Looney Tunes,2
Trenes/Metros,2
Bullying,2
Juegos olímpicos,2
Submarines,2
Tennis,1
Telenovela,1
Slavery,1
Siglo XIV,1
Transgender,1
Street Gang,1
Stage Play,1
Vikingos,1
Voodoo,1
Southern Gothic,1
Submarinos,1
11-S,1
Sharks,1
Blindness,1
Business & Stock Exchange,1
Caza,1
Chess,1
Cine quinqui,1
Circo,1
Cocodrilos,1
Colonialism,1
Colonialismo,1
Conquista de América,1
CrossFit,1
Dinosaurs,1
Discapacidad auditiva,1
Dolls,1
Dolphins,1
Ensemble Film,1
Boxing,1
Blaxploitation,1
Scuba Diving,1
Birds,1
14th Century,1
15th Century,1
17th Century,1
1900s,1
8th Century,1
AIDS,1
Ajedrez,1
Alcoholismo,1
Alpinismo / escalada,1
Alzheimer,1
América colonial,1
Antigua Grecia,1
Atletismo,1
Autism,1
Autismo,1
Feudal Japan,1
Film noir,1
Firefighters,1
Flamenco,1
Payasos,1
Pearl Harbor,1
Photography,1
Piratas,1
Planes,1
Posguerra española,1
Poverty,1
Puppets,1
Póker,1
RV,1
Realismo mágico,1
Rodents,1
Roman Empire,1
Rugby,1
Samurai,1
Orcas,1
Natural Disasters,1
Mythology,1
13th Century,1
Found Footage,1
Futuristic Western,1
Giallo,1
Holocaust,1
Holocausto,1
Hípica,1
Insects,1
Motorcycle,1
Jealousy,1
Juego,1
Karate,1
Lego,1
Los Simpson,1
Mockumentary,1
IRA,1
